# Athena++ data at time=1.000000e+00  cycle=58  variables=prim 
# i       x1v         rho          press          vel1         vel2         vel3     
0002 -1.98000e+00  3.00000e+00  3.00000e+00  3.64083e-14  0.00000e+00  0.00000e+00
0003 -1.94000e+00  3.00000e+00  3.00000e+00  7.98434e-13  0.00000e+00  0.00000e+00
0004 -1.90000e+00  3.00000e+00  3.00000e+00  8.37583e-12  0.00000e+00  0.00000e+00
0005 -1.86000e+00  3.00000e+00  3.00000e+00  7.99284e-11  0.00000e+00  0.00000e+00
0006 -1.82000e+00  3.00000e+00  3.00000e+00  6.90116e-10  0.00000e+00  0.00000e+00
0007 -1.78000e+00  3.00000e+00  3.00000e+00  5.38521e-09  0.00000e+00  0.00000e+00
0008 -1.74000e+00  3.00000e+00  3.00000e+00  3.79045e-08  0.00000e+00  0.00000e+00
0009 -1.70000e+00  3.00000e+00  3.00000e+00  2.39978e-07  0.00000e+00  0.00000e+00
0010 -1.66000e+00  3.00000e+00  2.99999e+00  1.36156e-06  0.00000e+00  0.00000e+00
0011 -1.62000e+00  2.99998e+00  2.99997e+00  6.89087e-06  0.00000e+00  0.00000e+00
0012 -1.58000e+00  2.99993e+00  2.99988e+00  3.09382e-05  0.00000e+00  0.00000e+00
0013 -1.54000e+00  2.99972e+00  2.99953e+00  1.22471e-04  0.00000e+00  0.00000e+00
0014 -1.50000e+00  2.99901e+00  2.99835e+00  4.24803e-04  0.00000e+00  0.00000e+00
0015 -1.46000e+00  2.99702e+00  2.99502e+00  1.28429e-03  0.00000e+00  0.00000e+00
0016 -1.42000e+00  2.99217e+00  2.98694e+00  3.37450e-03  0.00000e+00  0.00000e+00
0017 -1.38000e+00  2.98212e+00  2.97021e+00  7.71525e-03  0.00000e+00  0.00000e+00
0018 -1.34000e+00  2.96427e+00  2.94058e+00  1.54485e-02  0.00000e+00  0.00000e+00
0019 -1.30000e+00  2.93680e+00  2.89523e+00  2.74115e-02  0.00000e+00  0.00000e+00
